Country,Code,Product,Cost,Quantity
South Africa,SKU44386,Air Max 90,2300,20
China,SKU90000,Jordan 1,3200,29
Vietnam,SKU63221,Blazer,1700,19
United States,SKU29077,Cortez,970,29
Russia,SKU89999,Air Force 1,2000,43
Australia,SKU57443,Waffle Racer,2700,40
Canada,SKU68677,Air Max 97,3600,21
Egypt,SKU19888,Dunk SB,1500,26
Britain,SKU76000,Kobe 4,3400,21
France,SKU84500,Pegasus,2490,25
Zimbabwe,SKU20207,Air Presto,2999,28
Morocco,SKU77744,Challenge Court,1450,11
Israel,SKU29888,Air Zoom Generation,2680,30
Uganda,SKU33000,Flyknit Racer,4900,9
Pakistan,SKU77999,Air Yeezy 2,4389,67
Brazil,SKU44600,Air Jordan 11,3870,24
Columbia,SKU87500,Air Huarache,2683,20
India,SKU38773,Air Max 1,1900,29
Vietnam,SKU95000,Air Mag,2000,60
Israel,SKU79084,Air Foamposite,2430,20
China,SKU93222,Air Stab,1630,10
South Korea,SKU66734,Hyperdunk,1899,21
Australia,SKU71827,Zoom Hyperfuse,1400,15
France,SKU20394,Eric Koston 1,2322,17
Romania,SKU9008,Jordans 2,2000,20
Romania,SKU12344,Jordan 2,2000,19
England,SKU1234,Jordans 4,3100,61
England,12345,Product Test,1200,8
The Netherlands,99999,Product test 2,1999,67
France,23423,Product Test 3,1000,8
